timestamp;response;Cpk;Cpk_class;Product_class;sum_sensor1;sum_sensor2;sum_sensor3;sum_sensor4;sum_sensor5;sum_sensor7;sum_sensor49
09:43:44;0.36;0.219035552;bad;good;917.6445;907.8;2330.7923;7559.511844;7579.1;1641.36944;33797
09:49:36;0.369;0.219560878;bad;good;904.572212;915.42;2406.4422;7555.6386;7565.81;1522.27998;30395
09:55:28;0.405;0.220458554;bad;good;917.5566;908.7;2331.1017;7539.661644;7570.92;1689.33624;30397
10:01:20;0.4176;0.220458554;bad;good;904.997241;921.3;2420.6665;7581.4109;7499.83;1605.14005;31875
10:07:12;0.441;0.220458554;bad;good;913.702;904.2;2345.0613;7627.637944;7681.73;1621.12629;32941
10:13:04;0.3906;0.220458554;bad;good;902.214383;913.5;2405.6336;7525.150089;7516.15;1588.12081;30922
10:18:56;0.414;0.220458554;bad;good;899.04953;912.9;2330.8302;7541.566289;7549.1;1640.7064;33369
10:24:48;0.4122;0.220458554;bad;good;920.398771;906.6;2405.4593;7540.019;7547.03;1570.58351;32455
10:30:40;0.387;0.220458554;bad;good;915.3133;904.5;2331.0246;7541.850344;7576.98;1644.50514;33349
10:36:32;0.396;0.220458554;bad;good;897.980618;917.1;2420.7737;7553.871;7497.31;1599.52087;32680
10:42:24;0.405;0.220458554;bad;good;908.26529;925.5;2345.4298;7710.349;7606.07;1620.95128;32416
10:48:16;0.378;0.220458554;bad;good;917.747522;906.9;2406.3963;7560.8108;7538;1580.07264;31823
10:54:08;0.3996;0.221354167;bad;good;916.9999;908.7;2404.7523;7578.7739;7582.58;1630.26998;32895
11:00:00;0.387;0.221354167;bad;good;909.3072;909.3;2330.4088;7609.985989;7560.21;1611.67506;32426
11:05:52;0.396;0.223139233;bad;good;918.772622;910.8;2420.9019;7540.0922;7531.27;1599.76193;32410
11:11:44;0.3816;0.223139233;bad;good;906.80052;923.1;2329.976;7673.4238;7619.11;1666.85376;31446
11:17:36;0.387;0.223139233;bad;good;902.534222;914.1;2406.0807;7554.3741;7506.61;1662.31606;32397
11:23:28;0.3996;0.223139233;bad;good;905.2917;921;2345.966;7534.012644;7535.66;1675.60459;31915
11:29:20;0.3672;0.224916133;bad;good;910.00914;925.8;2330.7588;7591.5285;7571.91;1591.86305;32888
11:35:12;0.4086;0.224916133;bad;good;918.52189;933.3;2421.0974;7594.3016;7565.71;1546.84884;33356
11:41:04;0.3996;0.224916133;bad;good;903.47548;918.3;2345.6419;7575.487644;7584;1619.85032;32421
11:46:56;0.396;0.224916133;bad;good;908.881011;925.44;2420.7931;7630.9335;7601.715;1607.30529;33334
11:52:48;0.423;0.224916133;bad;good;901.92084;914.7;2331.3431;7523.538944;7571.28;1593.47422;32351
11:58:40;0.396;0.224916133;bad;good;901.512461;917.4;2405.8161;7563.9794;7527.41;1625.21163;32265
12:04:32;0.4086;0.224916133;bad;good;904.94013;919.5;2345.1327;7586.474;7643.59;1668.75694;31970
12:10:24;0.4176;0.224916133;bad;good;903.327632;914.7;2406.4361;7512.54313;7517.37;1550.37681;31996
12:16:16;0.4176;0.224916133;bad;good;907.67945;925.5;2345.2047;7566.1755;7509.11;1698.84123;31680
12:22:08;0.423;0.224916133;bad;good;918.831222;906.3;2420.9913;7559.447;7553;1613.31155;31186
12:28:00;0.414;0.224916133;bad;good;912.11974;929.4;2345.8813;7576.577089;7592.63;1655.59541;31187
12:33:52;0.423;0.225794106;bad;good;912.794161;929.1;2331.2673;7479.226044;7560.56;1552.79116;31624
12:39:44;0.4176;0.225794106;bad;good;903.547292;914.4;2405.7609;7513.2114;7511.09;1598.50794;31074
12:45:36;0.4266;0.227255219;bad;good;904.88184;911.7;2346.0362;7538.049789;7555.3;1670.65551;31128
12:51:28;0.4266;0.227255219;bad;good;915.269822;901.5;2406.3777;7558.3391;7559.26;1574.70143;31591
12:57:20;0.4122;0.259112868;bad;good;906.11193;921;2331.0038;7496.218644;7525.58;1613.58811;31165
13:03:12;0.4266;0.259112868;bad;good;902.682912;918;2405.525;7563.895889;7501.39;1618.13588;31044
13:09:04;0.4266;0.550887021;bad;good;902.75765;918;2345.1463;7626.767944;7627.71;1640.57742;30548
13:14:56;0.4356;0.550887021;bad;good;891.388471;911.1;2330.4667;7561.0403;7531.67;1535.74429;31142
13:20:48;0.414;0.557129367;bad;good;921.218812;911.7;2420.8323;7534.169;7531.59;1608.98693;31119
13:26:40;0.4176;0.557129367;bad;good;916.5604;905.1;2330.1562;7631.226344;7580.67;1648.60464;31631
13:32:32;0.4266;0.557129367;bad;good;918.728871;908.1;2406.0161;7523.978289;7539.38;1671.51542;31830
13:38:24;0.4266;0.599593496;bad;good;891.7838;910.8;2345.9199;7554.1639;7571.69;1710.29805;30678
13:44:16;0.4266;0.599593496;bad;good;913.2189;929.1;2420.6766;7544.496;7663.7;1618.04011;31724
13:50:08;0.4302;0.609252375;bad;good;912.79405;929.76;2420.7621;7645.5093;7591.68;1709.82357;30584
13:56:00;0.4176;0.609252375;bad;good;902.508578;910.8;2330.9416;7533.7934;7471.57;1691.99211;31164
14:01:52;0.4176;0.758159856;bad;good;900.50182;901.2;2405.5746;7552.1043;7536.88;1630.7249;31627
14:07:44;0.4176;8.06010929;good;good;904.22211;920.1;2344.8914;7598.998994;7633.27;1657.68773;32344
14:13:36;0.4356;8.939393939;good;good;902.580131;918;2420.2173;7565.5078;7509.15;1619.87404;30613
14:19:28;0.4356;8.939393939;good;good;899.06402;914.1;2345.9468;7607.9446;7552.79;1627.3009;31621
14:25:20;0.432;9.104938272;good;good;918.450573;908.1;2405.7786;7531.238589;7543.72;1604.23892;31149
14:31:12;0.4176;9.932659933;good;good;904.27952;915.9;10427.66;4159.0253;4081.45;1772.47213;31114
14:37:04;0.4176;10.5734767;good;good;490.2759;510;11775.0223;3485.0559;3485;2037.58348;31134
14:42:56;0.423;11.56862745;good;good;509.9854;510;11475.3711;3459.9668;3460;2214.33659;30665
14:48:48;0.4176;11.56862745;good;good;478.6785;495;11944.2202;3519.9264;3520;2074.65726;32674
14:54:40;0.4176;12.97777778;good;good;510.0004;510;11550.1838;3484.9903;3485;2156.275;31183
15:00:32;0.405;12.97777778;good;good;478.1285;495;11774.88;3495.0014;3495;2141.11794;31639
15:06:24;0.4356;11.72690763;good;good;510.0004;510;11475.209;3460.1452;3460;2175.07444;30723
15:12:16;0.4176;11.72690763;good;good;479.0879;495;11926.836;3519.9872;3520;2163.00009;32210
15:18:08;0.4176;12.97777778;good;good;494.9445157;510;11325.1376;3469.9674;3460;2147.85022;31196
15:24:00;0.4266;12.97777778;good;good;478.4383;495;11924.9586;3520.0188;3520;2098.44117;31129
15:29:52;0.414;15.97222222;good;good;494.9741;495;11474.9631;3460.0177;3470;2148.42523;30772
15:35:44;0.4086;15.97222222;good;good;475.4406;495;11775.009;3495.0257;3495;2114.77415;31494
15:41:36;0.423;15.97222222;good;good;495.0027;495;11775.0664;3519.4289;3520;2132.08536;31689
15:47:28;0.4356;14.09313725;good;good;495.0071;495;11399.9401;3465.4924;3470;2151.93078;30690
15:53:20;0.4176;14.09313725;good;good;475.9625;495;11927.689;3519.9383;3520;2158.53458;31201
15:59:12;0.4212;14.09313725;good;good;509.9807;510;11534.1097;3484.9365;3485;2228.78582;31712
16:05:04;0.4176;15.13227513;good;good;462.76837;495;11875.6451;3522.7085;3520;2170.2819;31620
16:10:56;0.423;16.35057471;good;good;509.9819;510;11700.9025;3485.0094;3485;2179.1384;30664
16:16:48;0.3906;16.35057471;good;good;461.3404799;495;11473.75055;3470.7781;3470;2146.10325;31155
16:22:40;0.414;16.35057471;good;good;476.9478;495;11955.74581;3519.9352;3520;2141.01328;30732
